latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.022846,113.134796,8.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2024-01-01,20.5,25.4,17.4,0.10,73
2024-01-02,19.3,24.6,14.7,0.50,75
2024-01-03,16.1,19.3,12.8,0.60,59
2024-01-04,13.4,18.8,8.6,0.00,59
2024-01-05,16.4,22.9,10.8,0.00,77
2024-01-06,18.7,24.6,12.9,0.00,76
2024-01-07,19.3,25.1,14.5,0.00,65
2024-01-08,19.3,24.3,14.1,0.00,72
2024-01-09,18.7,22.5,14.9,0.50,83
2024-01-10,18.7,23.4,14.7,0.00,63
2024-01-11,16.7,20.5,13.8,0.00,56
2024-01-12,16.9,20.1,13.0,0.00,67
2024-01-13,18.5,23.4,15.3,0.00,66
2024-01-14,18.9,25.0,13.8,0.00,58
2024-01-15,19.8,27.1,14.3,0.00,64
2024-01-16,18.6,24.5,13.0,0.00,70
2024-01-17,19.1,25.2,13.8,0.50,75
2024-01-18,20.7,25.7,17.3,2.20,76
2024-01-19,20.6,27.3,15.6,0.00,77
2024-01-20,17.2,20.3,12.8,0.00,73
2024-01-21,14.6,20.4,10.1,0.00,61
2024-01-22,9.6,14.0,4.8,3.00,64
2024-01-23,5.4,9.4,3.3,5.70,61
2024-01-24,6.1,10.2,3.0,0.00,39
2024-01-25,8.4,12.4,5.9,0.00,47
2024-01-26,10.6,14.2,8.7,0.00,49
2024-01-27,10.1,13.1,8.8,3.40,73
2024-01-28,11.0,15.0,8.7,0.50,74
2024-01-29,13.1,16.6,9.2,0.00,78
2024-01-30,17.1,22.6,14.1,0.40,85
2024-01-31,19.9,25.3,14.6,0.10,85
2024-02-01,21.9,26.0,19.4,0.50,86
2024-02-02,22.2,28.1,18.8,0.10,81
2024-02-03,21.8,25.6,19.3,0.20,80
2024-02-04,19.6,25.3,15.3,13.50,85
2024-02-05,14.5,18.1,11.6,1.80,78
2024-02-06,16.0,22.9,13.0,2.00,81
2024-02-07,10.7,13.0,8.2,9.20,82
2024-02-08,8.9,11.1,7.6,4.40,78
2024-02-09,10.1,13.3,7.7,1.20,70
2024-02-10,13.1,18.8,9.5,0.00,59
2024-02-11,14.3,22.5,7.4,0.00,60
2024-02-12,14.7,22.6,7.8,0.00,65
2024-02-13,17.3,24.6,11.0,0.00,72
2024-02-14,19.0,25.7,13.1,0.00,79
2024-02-15,20.0,26.4,14.0,0.00,79
2024-02-16,19.1,23.7,14.8,0.00,64
2024-02-17,19.8,24.1,16.2,0.20,80
2024-02-18,22.7,29.3,18.8,0.30,75
2024-02-19,23.1,28.4,19.3,0.60,83
2024-02-20,24.9,29.4,22.0,0.30,79
2024-02-21,25.3,30.6,22.5,0.40,77
2024-02-22,20.9,25.2,13.4,1.10,76
2024-02-23,12.3,14.6,9.8,0.50,67
2024-02-24,11.3,14.4,9.2,0.30,68
2024-02-25,10.4,13.5,8.0,0.60,72
2024-02-26,11.4,14.0,9.9,0.00,73
2024-02-27,11.4,15.2,8.9,0.10,70
2024-02-28,13.4,18.2,10.4,0.00,76
2024-02-29,12.4,14.7,9.8,2.00,80
2024-03-01,10.0,11.6,8.5,0.80,73
2024-03-02,10.6,15.1,7.3,1.80,66
2024-03-03,14.0,18.8,10.6,2.10,75
2024-03-04,20.7,24.7,15.4,9.10,89
2024-03-05,24.7,30.3,21.2,0.50,82
2024-03-06,18.6,22.1,14.4,1.90,75
2024-03-07,16.0,19.0,13.7,1.80,68
2024-03-08,17.5,20.9,14.2,0.20,57
2024-03-09,16.4,18.5,13.4,10.10,79
2024-03-10,14.3,15.7,13.0,18.60,91
2024-03-11,15.9,20.3,14.1,17.30,88
2024-03-12,16.8,23.2,11.3,0.00,74
2024-03-13,18.1,22.7,13.2,1.10,72
2024-03-14,19.4,23.2,16.2,4.00,78
2024-03-15,20.4,24.0,18.1,0.80,87
2024-03-16,21.7,26.0,19.4,1.80,87
2024-03-17,22.9,27.2,20.0,0.90,86
2024-03-18,22.2,27.0,19.0,0.80,89
2024-03-19,18.7,21.7,15.8,5.00,67
2024-03-20,18.4,23.2,13.8,0.00,56
2024-03-21,19.4,24.8,14.3,0.00,69
2024-03-22,21.9,26.7,17.6,0.00,78
2024-03-23,23.7,28.6,19.8,0.50,83
2024-03-24,25.9,30.5,22.9,0.20,78
2024-03-25,25.2,30.9,22.0,2.20,83
2024-03-26,24.2,28.6,20.7,0.00,70
2024-03-27,23.7,27.1,21.2,0.60,79
2024-03-28,24.8,29.2,21.0,0.40,77
2024-03-29,24.8,30.0,21.0,2.40,77
2024-03-30,25.5,31.2,21.5,10.00,81
2024-03-31,24.7,29.9,22.4,23.20,88
2024-04-01,25.2,30.2,21.9,12.80,86
2024-04-02,27.1,31.5,24.2,0.20,77
2024-04-03,26.5,30.7,23.2,15.80,81
2024-04-04,26.3,31.1,23.8,32.50,85
2024-04-05,24.1,29.7,21.3,29.90,87
2024-04-06,23.0,26.4,21.0,48.30,91
2024-04-07,22.0,25.0,20.0,41.30,91
2024-04-08,21.7,24.4,19.2,15.70,89
2024-04-09,22.4,27.3,19.1,0.40,73
2024-04-10,23.5,27.2,20.8,0.10,77
2024-04-11,24.5,28.8,20.4,0.70,80
2024-04-12,25.9,31.2,21.3,0.10,81
2024-04-13,26.2,31.5,21.6,0.00,80
2024-04-14,27.0,31.5,23.4,0.70,80
2024-04-15,27.4,32.2,23.8,0.30,78
2024-04-16,27.1,32.2,23.0,0.30,77
2024-04-17,27.0,32.4,23.9,0.20,81
2024-04-18,25.0,28.3,22.9,17.20,87
2024-04-19,26.3,29.4,24.1,25.00,83
2024-04-20,25.3,30.6,21.8,80.70,86
2024-04-21,24.1,27.3,22.3,45.70,89
2024-04-22,23.6,26.5,21.9,59.80,92
2024-04-23,24.7,29.3,22.3,67.00,88
2024-04-24,25.6,30.3,22.3,19.00,86
2024-04-25,24.9,29.1,23.3,70.40,90
2024-04-26,26.1,30.8,23.0,61.90,86
2024-04-27,25.6,30.4,23.0,22.70,89
2024-04-28,24.6,27.7,22.3,27.50,89
2024-04-29,27.8,32.1,24.7,30.90,84
2024-04-30,26.6,30.4,23.2,38.60,87
2024-05-01,23.2,25.6,21.6,7.10,81
2024-05-02,21.7,24.6,19.6,5.90,85
2024-05-03,24.2,28.9,21.8,15.20,89
2024-05-04,23.8,25.8,21.7,46.60,93
2024-05-05,24.4,28.9,21.5,21.50,88
2024-05-06,25.7,30.9,22.5,3.10,88
2024-05-07,26.1,31.1,22.4,0.70,85
2024-05-08,24.9,29.4,22.8,14.20,88
2024-05-09,25.2,28.8,23.5,4.20,80
2024-05-10,25.1,28.3,22.7,0.20,75
2024-05-11,26.4,31.0,22.7,0.70,82
2024-05-12,25.9,30.3,23.7,12.10,88
2024-05-13,25.7,29.6,23.4,0.00,78
2024-05-14,25.4,29.1,21.8,0.60,75
2024-05-15,25.8,30.1,21.5,0.10,74
2024-05-16,26.1,30.9,21.3,0.00,65
2024-05-17,25.1,29.4,20.7,0.00,73
2024-05-18,24.6,28.0,22.2,5.40,80
2024-05-19,23.1,25.2,21.4,30.70,87
2024-05-20,23.5,25.0,22.2,44.40,90
2024-05-21,25.3,28.4,22.9,3.70,85
2024-05-22,26.0,30.9,22.6,11.20,86
2024-05-23,25.8,28.8,23.8,6.30,89
2024-05-24,25.3,27.6,23.4,16.10,91
2024-05-25,26.7,31.0,24.3,3.20,87
2024-05-26,27.3,30.6,24.8,11.40,86
2024-05-27,27.7,31.2,25.8,33.40,88
2024-05-28,27.6,32.5,24.9,21.20,87
2024-05-29,26.2,29.1,24.3,0.00,72
2024-05-30,26.8,30.0,23.9,0.80,79
2024-05-31,27.4,30.5,25.6,14.10,87
2024-06-01,26.4,27.8,25.5,48.70,90
2024-06-02,28.7,32.7,24.9,3.60,77
2024-06-03,26.3,28.7,24.8,38.30,91
2024-06-04,25.1,27.3,23.4,26.00,87
2024-06-05,25.0,27.0,22.9,19.40,88
2024-06-06,26.3,29.6,24.1,2.00,86
2024-06-07,25.8,28.5,24.1,10.80,88
2024-06-08,25.9,29.1,24.4,65.90,91
2024-06-09,26.5,30.0,24.4,20.00,89
2024-06-10,27.6,31.0,25.2,8.30,87
2024-06-11,28.2,30.6,25.9,3.40,86
2024-06-12,28.6,32.5,26.1,6.90,85
2024-06-13,28.2,30.3,26.6,23.30,90
2024-06-14,28.6,32.2,27.2,8.90,86
2024-06-15,27.6,29.8,25.7,35.90,90
2024-06-16,27.6,30.1,25.8,34.40,89
2024-06-17,28.9,32.8,26.7,5.80,85
2024-06-18,28.8,32.6,26.8,3.50,85
2024-06-19,29.3,32.2,26.8,3.70,83
2024-06-20,29.9,33.2,27.0,2.50,80
2024-06-21,30.2,34.2,26.5,0.40,78
2024-06-22,29.9,33.5,26.9,1.60,79
2024-06-23,29.2,32.6,26.8,6.40,81
2024-06-24,28.6,32.3,26.5,8.70,83
2024-06-25,27.9,32.0,25.3,15.40,85
2024-06-26,27.9,31.3,24.4,2.60,84
2024-06-27,28.4,32.5,25.0,4.60,84
2024-06-28,29.4,33.2,26.0,2.80,80
2024-06-29,30.1,34.3,26.4,1.40,75
2024-06-30,30.1,32.7,27.4,0.80,75
2024-07-01,30.7,34.1,28.1,4.30,75
2024-07-02,30.0,32.7,28.0,8.30,78
2024-07-03,29.4,32.7,27.2,7.80,79
2024-07-04,28.2,31.9,25.6,8.40,84
2024-07-05,29.2,33.1,25.6,1.00,81
2024-07-06,29.8,33.4,26.0,2.20,80
2024-07-07,29.6,33.8,26.7,3.20,81
2024-07-08,30.0,33.9,26.7,1.40,78
2024-07-09,30.2,34.4,26.6,0.40,74
2024-07-10,29.8,34.2,26.3,1.30,77
2024-07-11,29.6,32.9,26.3,3.40,79
2024-07-12,29.5,32.6,26.7,5.60,79
2024-07-13,30.1,34.2,26.9,0.50,74
2024-07-14,30.4,34.4,26.6,2.40,75
2024-07-15,29.8,34.5,27.0,4.50,78
2024-07-16,29.0,33.0,26.2,10.20,81
2024-07-17,29.0,32.4,26.2,5.70,80
2024-07-18,28.8,32.3,26.2,8.20,81
2024-07-19,29.0,32.5,26.3,1.10,82
2024-07-20,29.8,33.6,26.5,1.80,80
2024-07-21,29.5,32.7,27.0,10.20,80
2024-07-22,29.4,32.9,26.6,2.90,80
2024-07-23,30.4,34.5,26.4,0.40,78
2024-07-24,31.1,35.4,26.6,0.00,73
2024-07-25,32.9,37.8,28.5,0.00,67
2024-07-26,31.3,36.4,28.6,27.40,76
2024-07-27,28.1,29.5,26.6,37.40,92
2024-07-28,26.7,27.8,25.8,50.60,93
2024-07-29,26.2,28.5,24.5,35.30,91
2024-07-30,26.8,30.1,25.0,26.90,89
2024-07-31,27.7,30.9,25.0,10.20,85
2024-08-01,29.4,33.0,26.2,1.90,79
2024-08-02,29.4,33.1,26.6,2.80,83
2024-08-03,30.2,34.6,26.1,0.10,78
2024-08-04,30.8,35.1,26.3,0.00,77
2024-08-05,30.8,34.9,27.3,1.20,80
2024-08-06,29.7,33.4,26.3,4.20,84
2024-08-07,30.4,34.5,26.7,0.90,79
2024-08-08,31.3,35.3,27.6,0.10,73
2024-08-09,31.5,35.9,27.5,0.00,70
2024-08-10,29.8,32.7,27.4,16.50,82
2024-08-11,29.5,33.7,27.0,14.00,85
2024-08-12,28.1,30.4,26.2,21.40,89
2024-08-13,27.9,32.5,25.3,2.90,86
2024-08-14,28.3,31.2,26.5,17.60,88
2024-08-15,27.7,30.9,25.2,29.30,87
2024-08-16,27.4,31.6,25.0,25.70,88
2024-08-17,26.8,29.9,24.9,25.60,90
2024-08-18,26.8,30.6,24.8,41.10,92
2024-08-19,27.7,31.5,25.8,15.10,90
2024-08-20,27.4,31.0,25.8,26.50,91
2024-08-21,27.2,29.4,26.1,25.40,91
2024-08-22,27.5,29.5,26.2,5.70,90
2024-08-23,28.4,31.9,25.8,8.50,86
2024-08-24,29.4,33.1,26.3,0.50,80
2024-08-25,28.7,32.8,26.3,12.00,86
2024-08-26,28.1,32.7,25.1,6.40,87
2024-08-27,29.7,33.7,26.0,1.20,82
2024-08-28,29.8,33.0,27.7,4.40,82
2024-08-29,28.6,31.6,26.4,9.80,85
2024-08-30,28.4,31.8,25.7,5.90,87
2024-08-31,28.5,32.1,26.5,5.10,85
2024-09-01,28.9,33.4,26.3,2.30,84
2024-09-02,29.2,33.2,25.4,19.20,85
2024-09-03,28.5,33.5,25.0,6.70,83
2024-09-04,28.5,32.7,25.6,3.50,85
2024-09-05,30.3,35.1,27.2,2.30,74
2024-09-06,27.2,29.1,25.6,32.00,86
2024-09-07,27.3,31.6,25.5,27.10,87
2024-09-08,27.3,29.9,25.7,6.60,87
2024-09-09,27.0,30.3,24.7,20.80,89
2024-09-10,27.7,31.9,24.4,2.10,86
2024-09-11,28.5,32.3,24.9,6.20,83
2024-09-12,28.8,33.0,25.6,0.70,84
2024-09-13,27.9,32.1,25.1,27.00,85
2024-09-14,26.9,31.3,24.6,22.10,88
2024-09-15,27.6,32.2,24.8,0.20,82
2024-09-16,27.6,31.8,25.1,4.70,86
2024-09-17,28.5,33.7,26.3,29.10,84
2024-09-18,29.0,33.9,24.9,4.10,78
2024-09-19,29.3,33.5,25.7,0.90,79
2024-09-20,28.7,33.0,25.7,6.10,84
2024-09-21,27.8,31.6,25.8,34.00,89
2024-09-22,26.2,29.6,23.6,18.30,82
2024-09-23,22.8,24.1,21.3,13.00,80
2024-09-24,23.9,27.1,21.4,10.50,89
2024-09-25,27.0,31.6,24.0,1.00,86
2024-09-26,27.9,32.0,24.4,0.20,84
2024-09-27,28.5,32.0,25.1,0.70,80
2024-09-28,28.3,31.8,25.7,1.50,83
2024-09-29,28.1,31.6,25.2,2.20,83
2024-09-30,29.1,33.5,25.1,0.00,77
2024-10-01,28.1,31.5,22.9,0.00,66
2024-10-02,23.8,27.1,21.0,0.00,56
2024-10-03,23.0,26.2,20.3,0.00,47
2024-10-04,23.5,27.8,20.0,0.00,51
2024-10-05,25.1,29.3,21.2,0.00,58
2024-10-06,26.9,31.3,23.4,0.00,61
2024-10-07,27.9,31.4,25.1,0.00,57
2024-10-08,25.6,29.6,22.2,0.00,57
2024-10-09,25.3,29.9,21.4,0.00,59
2024-10-10,25.4,29.8,21.7,0.00,58
2024-10-11,25.7,30.2,21.9,0.00,58
2024-10-12,25.7,29.1,22.0,0.90,76
2024-10-13,27.0,31.5,22.6,0.00,70
2024-10-14,27.9,32.8,23.1,0.00,71
2024-10-15,27.2,32.0,23.3,0.50,75
2024-10-16,26.5,30.6,23.4,4.10,79
2024-10-17,27.2,32.0,23.5,1.70,76
2024-10-18,26.5,29.4,24.3,1.70,84
2024-10-19,28.0,32.7,23.7,0.10,76
2024-10-20,26.5,30.9,22.8,1.50,70
2024-10-21,26.4,30.9,22.0,0.00,66
2024-10-22,26.2,31.1,22.7,0.00,65
2024-10-23,23.2,26.5,20.3,0.00,54
2024-10-24,22.1,26.7,18.2,0.00,41
2024-10-25,23.6,26.8,20.4,0.00,42
2024-10-26,25.2,30.1,22.5,0.00,55
2024-10-27,25.0,30.0,21.4,1.20,66
2024-10-28,24.5,28.9,21.3,0.00,59
2024-10-29,22.3,25.4,19.5,1.60,69
2024-10-30,23.0,27.0,20.1,0.10,62
2024-10-31,24.5,29.3,20.1,0.00,50
2024-11-01,24.6,29.0,21.1,0.00,53
2024-11-02,24.1,28.0,20.5,0.00,55
2024-11-03,25.0,28.8,21.8,0.40,58
2024-11-04,23.8,25.6,22.5,0.00,63
2024-11-05,24.5,28.1,22.1,0.00,52
2024-11-06,23.9,28.1,20.2,0.00,50
2024-11-07,22.3,26.9,18.4,0.00,43
2024-11-08,21.8,26.7,16.8,0.00,43
2024-11-09,24.3,29.3,19.5,0.20,48
2024-11-10,23.9,27.4,21.3,0.40,65
2024-11-11,24.9,29.6,21.4,0.10,66
2024-11-12,26.3,31.3,21.5,0.00,60
2024-11-13,27.0,32.2,22.9,0.20,62
2024-11-14,26.3,28.7,24.2,4.90,77
2024-11-15,25.4,27.0,24.4,4.70,86
2024-11-16,25.4,29.5,23.5,1.30,85
2024-11-17,26.2,30.4,23.2,0.00,67
2024-11-18,23.1,27.2,19.7,0.00,61
2024-11-19,18.6,19.5,17.5,11.70,73
2024-11-20,16.8,17.4,16.0,11.10,85
2024-11-21,18.5,23.2,15.3,0.00,74
2024-11-22,17.6,22.8,14.0,0.00,72
2024-11-23,18.2,23.0,14.7,0.20,73
2024-11-24,19.5,23.2,16.1,3.70,80
2024-11-25,20.4,23.4,18.1,11.50,86
2024-11-26,17.7,21.3,15.0,0.00,60
2024-11-27,16.0,21.0,11.8,0.00,47
2024-11-28,16.7,21.2,13.0,0.00,48
2024-11-29,16.6,21.1,12.5,0.00,41
2024-11-30,16.7,22.8,10.8,0.00,49
2024-12-01,17.7,24.1,11.2,0.00,58
2024-12-02,19.6,25.8,13.4,0.00,59
2024-12-03,21.0,26.9,15.3,0.00,64
2024-12-04,22.0,27.7,16.1,0.00,61
2024-12-05,21.4,25.7,17.5,0.10,69
2024-12-06,19.6,24.5,15.2,0.00,59
2024-12-07,18.1,23.7,13.9,0.00,59
2024-12-08,16.0,20.4,11.8,0.00,50
2024-12-09,16.4,20.3,13.2,0.00,58
2024-12-10,19.1,25.4,13.1,0.00,68
2024-12-11,18.9,23.7,14.2,0.00,66
2024-12-12,15.9,21.7,11.2,0.00,56
2024-12-13,15.0,18.7,12.3,0.00,56
2024-12-14,13.5,17.3,10.7,0.00,43
2024-12-15,13.0,17.2,9.8,0.00,27
2024-12-16,15.3,20.0,12.2,0.00,24
2024-12-17,15.7,21.7,10.0,0.00,41
2024-12-18,16.7,21.7,12.9,0.00,29
2024-12-19,13.8,18.3,9.7,0.00,31
2024-12-20,13.4,18.7,8.4,0.00,30
2024-12-21,15.1,20.8,10.3,0.00,34
2024-12-22,14.2,19.1,9.8,0.00,35
2024-12-23,14.6,19.6,9.8,0.00,38
2024-12-24,15.2,20.1,10.7,0.00,35
2024-12-25,17.0,20.7,13.9,0.20,46
2024-12-26,17.7,20.4,14.8,0.00,55
2024-12-27,17.9,21.6,15.4,0.00,45
2024-12-28,15.5,19.0,12.3,0.00,34
2024-12-29,14.0,19.0,8.6,0.00,38
2024-12-30,16.3,22.7,10.0,0.00,58
2024-12-31,17.7,22.7,13.3,0.00,45
2025-01-01,17.3,22.7,12.3,0.00,46
2025-01-02,18.4,24.3,12.1,0.00,51
2025-01-03,17.6,21.9,13.6,0.00,29
2025-01-04,16.9,22.0,11.5,0.00,37
2025-01-05,18.2,22.7,14.2,0.00,39
2025-01-06,17.1,22.7,12.0,0.00,41
2025-01-07,17.2,23.4,11.1,0.00,47
2025-01-08,17.5,23.1,11.8,0.00,51
2025-01-09,16.6,21.9,11.7,0.00,39
2025-01-10,12.5,16.6,8.3,0.00,29
