bound_set,R0_target,start,R0_check,loss_total,loss_post,loss_early,seed_val,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,cpa_at_bound,cpb_at_bound,s_min_at_bound,r_base_at_bound,r_off_at_bound,esc_off_at_bound,stag_b_at_bound,seed_at_bound,n_params_at_bound,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x,n_starts,loss_post_range
tight,1.24,0,1.24,0.141,0.1405,0.0005,0.0002014,0.7025029073832841,0.6279547678484445,0.4286355402906756,0.20603565026579945,8.759254805300124,13.003093859645505,1.9571259577081408,0.0002013989714910509,False,False,False,False,False,False,False,False,0,107373,12457,8961,17187,6824,8.619,0.719,1.38,0.548,3,1.1790..0.1405
tight,1.5,0,1.5,0.2104,0.21,0.0004,0.0001349,0.57452833400958,0.7846182787846738,0.3510374775541394,0.17800196185234557,6.7769985814393365,13.022867160478285,3.6683324562765547,0.0001349358624030513,False,False,True,False,False,False,False,False,1,497222,13189,8566,21164,5074,37.701,0.65,1.605,0.385,3,1.4631..0.2100
tight,2.0,2,2.0,1.2337,0.676,0.5576,0.0001001,0.5874048077517409,0.276682984677362,0.35102368629850383,0.10000009842201542,15.35387034950916,6.100552322774443,2.6175776965050455,0.00010014020875299078,False,False,True,True,False,False,False,True,3,2300492,18244,8324,43717,3590,126.093,0.456,2.396,0.197,3,16.1311..0.6760
tight,2.5,2,2.5,68.8569,68.5483,0.3086,0.0001,0.43608149087132564,0.16298592901696018,0.3500705563323929,0.10000015262948705,19.08500861541131,6.360775439759692,2.403469290787363,0.00010000000000634665,False,False,True,True,False,False,False,True,3,3497564,124756,55928,361702,19865,28.035,0.448,2.899,0.159,3,8729.2751..68.5483
tight,3.0,2,3.0,3453.0524,3452.9958,0.0565,0.0001,0.45137502676392194,0.11077236641961756,0.350660031730415,0.10000836681313469,18.78587850974675,11.421967723834484,2.5557190845092115,0.00010000318664462124,False,False,True,True,False,False,False,True,3,4259319,848802,389794,1630203,129723,5.018,0.459,1.921,0.153,3,50390.3808..3452.9958
baseline,1.24,1,1.24,0.2079,0.2078,0.0001,0.0003547,0.5000000000000001,0.19964172794788188,0.6193661838960964,0.21217881409498923,12.466803885546955,8.8595875506486,2.0470380593514603,0.00035465534246158166,False,False,False,False,False,False,False,False,0,95101,14543,10884,19539,8573,6.539,0.748,1.344,0.59,3,0.7616..0.2078
baseline,1.5,1,1.5,0.729,0.6846,0.0444,0.0001534,0.5000000000000002,0.3103653643148647,0.6141633983231027,0.2704780175200819,11.894216408104812,9.069406972709576,2.068391957832992,0.00015343455153867653,False,False,False,False,False,False,False,False,0,320908,19532,12680,32958,8494,16.43,0.649,1.687,0.435,3,2.5012..0.6846
baseline,2.0,2,2.0,0.6328,0.6324,0.0003,4.194e-05,0.9485717154408774,0.05000000087772245,0.20154696709638173,0.8999999999999666,24.102198656300963,5.493685597622637,6.501806078760651,4.194238442338846e-05,True,True,True,True,False,False,False,False,4,1823586,14248,6243,38140,2662,127.988,0.438,2.677,0.187,3,2.7178..0.6324
baseline,2.5,0,2.5,1.1329,1.1279,0.005,1.153e-05,0.712798855957234,0.3009773908554818,0.2474022145460308,0.8580494917254329,10.564929558389021,12.407540849704517,1.9303240008373321,1.1527458743174991e-05,False,False,False,False,False,False,False,False,0,4555300,18402,5320,63084,1723,247.54,0.289,3.428,0.094,3,5.2162..1.1279
baseline,3.0,2,3.0,1.9957,1.5658,0.4299,3.422e-06,0.82102813455566,0.3291177684503697,0.22129828195276843,0.8248879641288233,16.658000186747806,7.454019259900542,2.8094105936005302,3.4218888473233744e-06,False,False,False,False,False,False,False,False,0,3457898,19153,4442,96779,1095,180.545,0.232,5.053,0.057,3,5.9693..1.5658
baseline,3.5,2,3.5,2.9471,1.9924,0.9547,1.215e-06,0.729118419587389,0.0542267778166084,0.2,0.050000000001270674,24.303088168149767,5.20013748079677,1.0109847043320523,1.2152219063478782e-06,False,False,True,True,False,True,False,False,3,3629731,24201,4496,146634,961,149.986,0.186,6.059,0.04,3,4.4367..1.9924
baseline,4.0,1,4.0,11.3027,10.3462,0.9565,1e-06,0.49999999999999434,0.05001273480076788,0.20020383433139077,0.05000000070392561,24.44100653822027,9.769494408880547,6.799881905376708,1.0000000001358598e-06,False,True,True,True,False,False,True,True,5,7613698,86995,16189,440074,3133,87.519,0.186,5.059,0.036,3,88.8287..10.3462
baseline,4.5,1,4.5,323.3683,323.2555,0.1128,1e-06,0.5000000000000046,0.95,0.20000020870434698,0.8999999996033077,24.88795215348647,5.2,6.799999996823721,1.0000000000000004e-06,False,True,True,True,True,True,True,True,7,7901475,382660,70955,1446494,11892,20.649,0.185,3.78,0.031,3,1677.0606..323.2555
loose,1.24,1,1.24,0.1196,0.1188,0.0008,0.0003744,0.5005901511079709,0.585254803445832,0.5516780271770343,0.19380282487013778,13.437051845082426,5.012529291236401,2.2121301807628964,0.0003744413944538857,False,False,False,False,False,False,False,False,0,94535,13210,9998,17786,8154,7.156,0.757,1.346,0.617,3,0.6985..0.1188
loose,2.0,2,2.0,0.1277,0.1272,0.0005,0.0003086,0.8486621865438896,0.03982324647141683,0.08408398555579943,0.1488138689887101,13.473949600189375,19.442406663102144,2.6258884040881583,0.00030859218599610996,False,False,False,False,False,False,False,False,0,2896025,12024,5370,28021,1267,240.85,0.447,2.33,0.105,3,2.9619..0.1272
