bound_set,R0_target,start,R0_check,loss_total,loss_post,loss_early,seed_val,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,cpa_at_bound,cpb_at_bound,s_min_at_bound,r_base_at_bound,r_off_at_bound,esc_off_at_bound,stag_b_at_bound,seed_at_bound,n_params_at_bound,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x
tight,1.24,0,1.24,0.141,0.1405,0.0005,0.0002014,0.7025029073832841,0.6279547678484445,0.4286355402906756,0.20603565026579945,8.759254805300124,13.003093859645505,1.9571259577081408,0.0002013989714910509,False,False,False,False,False,False,False,False,0,107373,12457,8961,17187,6824,8.619,0.719,1.38,0.548
tight,1.24,1,1.24,1.2731,1.179,0.094,0.0001,0.6833173611024683,0.9,0.95,0.9,5.0,20.0,0.5,0.00010000000000000009,False,True,True,True,True,True,True,True,7,30435,17171,14404,26157,12863,1.772,0.839,1.523,0.749
tight,1.24,2,1.24,1.0204,0.6163,0.4041,0.0003035,0.4962442922724648,0.37214198990830794,0.8996699957051537,0.11299349780925327,15.964535603183872,6.903280411452078,2.9837026373764677,0.0003035039735661983,False,False,False,False,False,False,False,False,0,59835,19330,15734,26357,13587,3.095,0.814,1.364,0.703
tight,1.5,0,1.5,0.2104,0.21,0.0004,0.0001349,0.57452833400958,0.7846182787846738,0.3510374775541394,0.17800196185234557,6.7769985814393365,13.022867160478285,3.6683324562765547,0.0001349358624030513,False,False,True,False,False,False,False,False,1,497222,13189,8566,21164,5074,37.701,0.65,1.605,0.385
tight,1.5,1,1.5,1.1435,1.1435,0.0,0.0001001,0.5001711741410544,0.2948616507223517,0.7352235199984294,0.5097200655171307,12.177576546984401,7.633063500580695,1.4177765832659577,0.0001000801261823832,False,False,False,False,False,False,False,True,1,205201,21265,14080,33858,9949,9.65,0.662,1.592,0.468
tight,1.5,2,1.5,2.1773,1.4631,0.7143,0.0001001,0.5579483959492445,0.24493134649306234,0.8572864385881686,0.10058091701550056,15.50008383429929,7.888503024235314,3.0011599069588017,0.00010010987500472436,False,False,False,True,False,False,False,True,2,159310,25488,16945,42414,12433,6.25,0.665,1.664,0.488
tight,2.0,0,2.0,16.1315,16.1311,0.0003,0.0001,0.1,0.10088315650595399,0.35000000000183723,0.10941101878469343,7.783378434162621,12.851836946507792,0.50029677957425,0.00010000733229647317,True,True,True,False,False,False,True,True,5,3989140,75318,41820,141949,20292,52.964,0.555,1.885,0.269
tight,2.0,1,2.0,2.34,1.9052,0.4348,0.0001,0.5056888218268969,0.14158863916271663,0.3501625287625461,0.10417099180811883,17.622282211138184,19.996095192963722,0.5121808473477809,0.00010000000000000009,False,False,True,False,False,True,False,True,3,2899721,27114,12461,64706,5102,106.947,0.46,2.386,0.188
tight,2.0,2,2.0,1.2337,0.676,0.5576,0.0001001,0.5874048077517409,0.276682984677362,0.35102368629850383,0.10000009842201542,15.35387034950916,6.100552322774443,2.6175776965050455,0.00010014020875299078,False,False,True,True,False,False,False,True,3,2300492,18244,8324,43717,3590,126.093,0.456,2.396,0.197
tight,2.5,0,2.5,3472.958,3384.8428,88.1152,0.0001138,0.10000000103592346,0.8518553578225494,0.35000001826044935,0.8945373533358352,7.792423013551698,12.999918782230484,0.7558191977804267,0.00011380587107304545,True,False,True,True,False,False,False,False,3,6754365,943719,530788,1676175,240741,7.157,0.562,1.776,0.255
tight,2.5,1,2.5,8730.2202,8729.2751,0.945,0.0001005,0.5000139730087771,0.30597760228825593,0.599034395527624,0.3035788853491107,11.989408170104824,9.948345977810549,1.9911527005835312,0.00010054271333682734,False,False,False,False,False,False,False,True,1,4720055,1342060,774760,2088485,401044,3.517,0.577,1.556,0.299
tight,2.5,2,2.5,68.8569,68.5483,0.3086,0.0001,0.43608149087132564,0.16298592901696018,0.3500705563323929,0.10000015262948705,19.08500861541131,6.360775439759692,2.403469290787363,0.00010000000000634665,False,False,True,True,False,False,False,True,3,3497564,124756,55928,361702,19865,28.035,0.448,2.899,0.159
tight,3.0,0,3.0,50414.1356,50390.3808,23.7548,0.0001001,0.1,0.16932449796783483,0.35,0.10001026112402214,5.026637883610596,12.986710752572728,1.1513939299349676,0.00010010301644195228,True,False,True,True,True,False,False,True,5,8178010,3139547,2429982,3791543,1507128,2.605,0.774,1.208,0.48
tight,3.0,1,3.0,10789.5288,10726.5689,62.9599,0.0001,0.4911165869512969,0.8999765607846105,0.35089851937887595,0.896574224626161,16.81702631204775,11.349438141516774,0.504129263835599,0.00010000000165868982,False,True,True,True,False,False,True,True,5,6854571,1171528,496678,2282934,153749,5.851,0.424,1.949,0.131
tight,3.0,2,3.0,3453.0524,3452.9958,0.0565,0.0001,0.45137502676392194,0.11077236641961756,0.350660031730415,0.10000836681313469,18.78587850974675,11.421967723834484,2.5557190845092115,0.00010000318664462124,False,False,True,True,False,False,False,True,3,4259319,848802,389794,1630203,129723,5.018,0.459,1.921,0.153
baseline,1.24,0,1.24,0.8311,0.7616,0.0695,5.99e-05,0.8680824069087372,0.24095337453616988,0.6484779169812107,0.8717781570082375,8.821189847159056,12.607855829063217,1.5972434796751949,5.9897523508257685e-05,False,False,False,False,False,False,False,False,0,36538,14305,10514,22514,8689,2.554,0.735,1.574,0.607
baseline,1.24,1,1.24,0.2079,0.2078,0.0001,0.0003547,0.5000000000000001,0.19964172794788188,0.6193661838960964,0.21217881409498923,12.466803885546955,8.8595875506486,2.0470380593514603,0.00035465534246158166,False,False,False,False,False,False,False,False,0,95101,14543,10884,19539,8573,6.539,0.748,1.344,0.59
baseline,1.24,2,1.24,1.0187,0.5453,0.4734,0.0002497,0.57151169800733,0.5503588966734922,0.9035602242272862,0.11615909893805086,15.670414647548482,6.279196102542707,2.3866248836565265,0.0002497457562214306,False,False,False,False,False,False,False,False,0,50983,17288,13708,24214,11981,2.949,0.793,1.401,0.693
baseline,1.5,0,1.5,0.8488,0.7929,0.0558,4.319e-05,0.865274179281784,0.3308186303028646,0.44352136737660974,0.8650775040350871,9.048700477248342,12.68484409018438,2.108945294826104,4.319495846014426e-05,False,False,False,False,False,False,False,False,0,203314,14295,8696,26148,5463,14.223,0.608,1.829,0.382
baseline,1.5,1,1.5,0.729,0.6846,0.0444,0.0001534,0.5000000000000002,0.3103653643148647,0.6141633983231027,0.2704780175200819,11.894216408104812,9.069406972709576,2.068391957832992,0.00015343455153867653,False,False,False,False,False,False,False,False,0,320908,19532,12680,32958,8494,16.43,0.649,1.687,0.435
baseline,1.5,2,1.5,3.1897,2.5012,0.6884,0.0001108,0.3198404207000046,0.24579758841519594,0.8508903742579688,0.1002226397329769,15.085010288395637,7.091779792712646,2.9405131468435495,0.00011077990571886786,False,False,False,False,False,False,False,False,0,187213,36103,27109,51804,22448,5.186,0.751,1.435,0.622
baseline,2.0,0,2.0,0.8599,0.8259,0.034,2.323e-05,0.8262806938054603,0.235614910616482,0.28572180448048257,0.8582397915903425,8.9775165064653,12.373349840888064,2.0550533895170826,2.3227694536034645e-05,False,False,False,False,False,False,False,False,0,2412935,15179,6704,40365,2660,158.961,0.442,2.659,0.175
baseline,2.0,1,2.0,3.1885,2.7178,0.4707,2.512e-05,0.5000000000000001,0.3281033973788688,0.5818262954162882,0.3452794441010549,12.047873879640768,8.827585604307027,1.9787418644677461,2.511545055726675e-05,False,False,False,False,False,False,False,False,0,1705399,34991,17536,75037,9031,48.738,0.501,2.144,0.258
baseline,2.0,2,2.0,0.6328,0.6324,0.0003,4.194e-05,0.9485717154408774,0.05000000087772245,0.20154696709638173,0.8999999999999666,24.102198656300963,5.493685597622637,6.501806078760651,4.194238442338846e-05,True,True,True,True,False,False,False,False,4,1823586,14248,6243,38140,2662,127.988,0.438,2.677,0.187
baseline,2.5,0,2.5,1.1329,1.1279,0.005,1.153e-05,0.712798855957234,0.3009773908554818,0.2474022145460308,0.8580494917254329,10.564929558389021,12.407540849704517,1.9303240008373321,1.1527458743174991e-05,False,False,False,False,False,False,False,False,0,4555300,18402,5320,63084,1723,247.54,0.289,3.428,0.094
baseline,2.5,1,2.5,5.863,5.2162,0.6468,3.326e-06,0.5000000000000002,0.07418307071426702,0.512864531646184,0.770170447258882,20.27243625931388,10.9967314277241,0.9127468274139141,3.325849629997813e-06,False,False,False,False,False,False,False,False,0,3239761,45774,18944,118848,7782,70.778,0.414,2.596,0.17
baseline,2.5,2,2.5,3.159,3.1464,0.0125,3.126e-05,0.28674122346089614,0.14787824110004966,0.2956529288384727,0.6238248936194727,15.745801027304486,6.217512992741575,2.7637821907717472,3.125603026617762e-05,False,False,False,False,False,False,False,False,0,3390004,35221,13953,93656,4875,96.25,0.396,2.659,0.138
