panel,source_file,bound_set,R0_check,s_min,loss_post,tru_early_x,tru_late_x,tru_none_x,used
fig1a,bound_profile_i600.csv,tight,1.24,0.4286355402906756,0.1405,0.719,1.38,8.619,True
fig1a,bound_profile_i600.csv,tight,1.5,0.3510374775541394,0.21,0.65,1.605,37.701,True
fig1a,bound_profile_i600.csv,tight,2.0,0.3510236862985038,0.676,0.456,2.396,126.093,True
fig1a,bound_profile_i600.csv,tight,2.5,0.3500705563323929,68.5483,0.448,2.899,28.035,True
fig1a,bound_profile_i600.csv,tight,3.0,0.350660031730415,3452.9958,0.459,1.921,5.018,True
fig1a,bound_profile_i600.csv,baseline,1.24,0.6193661838960964,0.2078,0.748,1.344,6.539,True
fig1a,bound_profile_i600.csv,baseline,1.5,0.6141633983231027,0.6846,0.649,1.687,16.43,True
fig1a,bound_profile_i600.csv,baseline,2.0,0.2015469670963817,0.6324,0.438,2.677,127.988,True
fig1a,bound_profile_i600.csv,baseline,2.5,0.2474022145460308,1.1279,0.289,3.428,247.54,True
fig1a,bound_profile_i600.csv,baseline,3.0,0.2212982819527684,1.5658,0.232,5.053,180.545,True
fig1a,bound_profile_i600.csv,baseline,3.5,0.2,1.9924,0.186,6.059,149.986,True
fig1a,bound_profile_i600.csv,baseline,4.0,0.2002038343313907,10.3462,0.186,5.059,87.519,True
fig1a,bound_profile_i600.csv,baseline,4.5,0.2000002087043469,323.2555,0.185,3.78,20.649,True
fig1a,bound_profile_i600.csv,loose,1.24,0.5516780271770343,0.1188,0.757,1.346,7.156,True
fig1a,bound_profile_i600.csv,loose,2.0,0.0840839855557994,0.1272,0.447,2.33,240.85,True
fig1a,bound_profile_i600.csv,loose,3.0,0.0558211281981561,0.0328,0.284,3.852,573.651,True
fig1a,bound_profile_i600.csv,loose,4.0,0.0514170654292664,0.2024,0.156,6.983,486.386,True
fig1a,bound_profile_i600.csv,loose,4.5,0.0541032779677835,0.7224,0.112,10.419,573.343,True
fig1a,bound_profile_i600.csv,loose,5.0,0.0518514126163178,0.8493,0.091,12.314,506.453,True
fig1a,bound_profile_i600.csv,loose,6.0,0.0519605106137198,2.2294,0.065,13.782,282.183,True
fig1b,bound_profile_i600.csv,tight,1.24,0.4286355402906756,0.1405,0.719,1.38,8.619,True
fig1b,bound_profile_i600.csv,tight,1.5,0.3510374775541394,0.21,0.65,1.605,37.701,True
fig1b,bound_profile_i600.csv,tight,2.0,0.3510236862985038,0.676,0.456,2.396,126.093,True
fig1b,bound_profile_i600.csv,tight,2.5,0.3500705563323929,68.5483,0.448,2.899,28.035,True
fig1b,bound_profile_i600.csv,tight,3.0,0.350660031730415,3452.9958,0.459,1.921,5.018,True
fig1b,bound_profile_i600.csv,baseline,1.24,0.6193661838960964,0.2078,0.748,1.344,6.539,True
fig1b,bound_profile_i600.csv,baseline,1.5,0.6141633983231027,0.6846,0.649,1.687,16.43,True
fig1b,bound_profile_i600.csv,baseline,2.0,0.2015469670963817,0.6324,0.438,2.677,127.988,True
fig1b,bound_profile_i600.csv,baseline,2.5,0.2474022145460308,1.1279,0.289,3.428,247.54,True
fig1b,bound_profile_i600.csv,baseline,3.0,0.2212982819527684,1.5658,0.232,5.053,180.545,True
fig1b,bound_profile_i600.csv,baseline,3.5,0.2,1.9924,0.186,6.059,149.986,True
fig1b,bound_profile_i600.csv,baseline,4.0,0.2002038343313907,10.3462,0.186,5.059,87.519,True
fig1b,bound_profile_i600.csv,baseline,4.5,0.2000002087043469,323.2555,0.185,3.78,20.649,True
fig1b,bound_profile_i600.csv,loose,1.24,0.5516780271770343,0.1188,0.757,1.346,7.156,True
fig1b,bound_profile_i600.csv,loose,2.0,0.0840839855557994,0.1272,0.447,2.33,240.85,True
fig1b,bound_profile_i600.csv,loose,3.0,0.0558211281981561,0.0328,0.284,3.852,573.651,True
fig1b,bound_profile_i600.csv,loose,4.0,0.0514170654292664,0.2024,0.156,6.983,486.386,True
fig1b,bound_profile_i600.csv,loose,4.5,0.0541032779677835,0.7224,0.112,10.419,573.343,True
fig1b,bound_profile_i600.csv,loose,5.0,0.0518514126163178,0.8493,0.091,12.314,506.453,True
fig1b,bound_profile_i600.csv,loose,6.0,0.0519605106137198,2.2294,0.065,13.782,282.183,True
fig2,bound_profile_i600.csv,tight,1.24,0.4286355402906756,0.1405,0.719,1.38,8.619,True
fig2,bound_profile_i600.csv,tight,1.5,0.3510374775541394,0.21,0.65,1.605,37.701,True
fig2,bound_profile_i600.csv,tight,2.0,0.3510236862985038,0.676,0.456,2.396,126.093,True
fig2,bound_profile_i600.csv,baseline,1.24,0.6193661838960964,0.2078,0.748,1.344,6.539,True
fig2,bound_profile_i600.csv,baseline,1.5,0.6141633983231027,0.6846,0.649,1.687,16.43,True
fig2,bound_profile_i600.csv,baseline,2.0,0.2015469670963817,0.6324,0.438,2.677,127.988,True
fig2,bound_profile_i600.csv,baseline,2.5,0.2474022145460308,1.1279,0.289,3.428,247.54,True
fig2,bound_profile_i600.csv,baseline,3.0,0.2212982819527684,1.5658,0.232,5.053,180.545,True
fig2,bound_profile_i600.csv,baseline,3.5,0.2,1.9924,0.186,6.059,149.986,True
