date,observed,env_min,env_median,env_max,in_window
2025-07-19,1873,2672.0,3311.0,7279.0,False
2025-07-21,2659,2810.0,3428.0,7435.0,False
2025-07-22,3195,2896.0,3494.0,7511.0,False
2025-07-24,4014,3098.0,3655.0,7661.0,False
2025-07-26,4754,3331.0,3857.0,7812.0,False
2025-08-02,7524,4278.0,4747.0,8331.0,False
2025-08-09,8736,5296.0,5723.0,8790.0,False
2025-08-16,9380,6299.0,6669.0,9169.0,True
2025-08-23,9586,7222.0,7528.0,9473.0,True
2025-08-30,9705,8003.0,8284.0,9712.0,True
2025-09-06,9790,8728.0,8967.0,9913.0,True
2025-09-13,9876,9410.0,9591.0,10086.0,True
2025-09-20,9957,9922.0,10049.0,10209.0,True
2025-09-27,10035,10295.0,10337.0,10399.0,True
2025-10-04,10192,10360.0,10594.0,10681.0,True
2025-10-11,10388,10421.0,10855.0,10950.0,True
2025-10-18,10629,10470.0,11055.0,11165.0,True
2025-10-25,10759,10511.0,11216.0,11352.0,True
2025-11-01,10810,10565.0,11428.0,11653.0,True
2025-11-22,10819,10693.0,11934.0,12421.0,True
