group,anchor_date,observed,n_solutions,model_cum_min,model_cum_median,model_cum_max,ratio_min,ratio_median,ratio_max
holdout_no_early_anchor,2025-07-15,478.0,7,1157.3,1943.6,4467.4,2.421,4.066,9.346
holdout_no_early_anchor,2025-07-18,1161.0,7,1232.2,2068.4,4662.6,1.061,1.782,4.016
holdout_no_early_anchor,2025-07-19,1790.0,7,1256.9,2108.6,4722.2,0.702,1.178,2.638
holdout_no_early_anchor,2025-07-19,1873.0,7,2671.6,3240.6,7278.9,1.426,1.73,3.886
holdout_no_early_anchor,2025-07-20,2285.0,7,1284.3,2148.2,4779.4,0.562,0.94,2.092
holdout_no_early_anchor,2025-07-21,2471.0,7,1318.5,2188.0,4834.9,0.534,0.885,1.957
holdout_no_early_anchor,2025-07-21,2659.0,7,2809.9,3354.6,7435.2,1.057,1.262,2.796
holdout_no_early_anchor,2025-07-22,3195.0,7,2896.1,3422.2,7510.6,0.906,1.071,2.351
holdout_no_early_anchor,2025-07-24,4014.0,7,3098.2,3591.1,7661.0,0.772,0.895,1.909
holdout_no_early_anchor,2025-07-26,4208.0,7,1607.2,2510.2,5118.9,0.382,0.597,1.216
holdout_no_early_anchor,2025-07-26,4754.0,7,3331.0,3800.5,7812.3,0.701,0.799,1.643
holdout_no_early_anchor,2025-08-02,7524.0,7,4277.7,4709.7,8331.2,0.569,0.626,1.107
holdout_no_early_anchor,2025-08-09,8736.0,7,5295.6,5703.2,8789.6,0.606,0.653,1.006
in_sample_478_in_calib,2025-07-15,478.0,17,199.5,599.0,3481.7,0.417,1.253,7.284
in_sample_478_in_calib,2025-07-18,1161.0,17,252.6,741.5,3780.1,0.218,0.639,3.256
in_sample_478_in_calib,2025-07-19,1790.0,17,270.8,803.9,3880.0,0.151,0.449,2.168
in_sample_478_in_calib,2025-07-19,1873.0,17,299.9,873.6,4978.0,0.16,0.466,2.658
in_sample_478_in_calib,2025-07-20,2285.0,17,292.0,873.4,3980.3,0.128,0.382,1.742
in_sample_478_in_calib,2025-07-21,2471.0,17,316.1,949.6,4080.9,0.128,0.384,1.652
in_sample_478_in_calib,2025-07-21,2659.0,17,347.1,998.6,5232.5,0.131,0.376,1.968
in_sample_478_in_calib,2025-07-22,3195.0,17,375.1,1050.2,5361.2,0.117,0.329,1.678
in_sample_478_in_calib,2025-07-24,4014.0,17,439.2,1214.6,5620.2,0.109,0.303,1.4
in_sample_478_in_calib,2025-07-26,4208.0,17,477.7,1387.0,4584.8,0.114,0.33,1.09
in_sample_478_in_calib,2025-07-26,4754.0,17,513.8,1418.5,5879.4,0.108,0.298,1.237
in_sample_478_in_calib,2025-08-02,7524.0,17,851.5,2272.7,6759.0,0.113,0.302,0.898
in_sample_478_in_calib,2025-08-09,8736.0,17,1308.8,3410.7,7549.0,0.15,0.39,0.864
