run_tag,source_file,solution_id,anchor_date,observed,model_cum,ratio_model_over_observed,replayed,note
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-15,478.0,1876.4,3.925,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-18,1161.0,1996.4,1.72,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-19,1790.0,2035.0,1.137,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-20,2285.0,2073.8,0.908,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-21,2471.0,2116.5,0.857,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-26,4208.0,2482.0,0.59,True,"scope=shunde; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-19,1873.0,3240.6,1.73,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-21,2659.0,3354.6,1.262,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-22,3195.0,3422.2,1.071,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-24,4014.0,3591.1,0.895,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-07-26,4754.0,3800.5,0.799,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-08-02,7524.0,4709.7,0.626,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
hv2params_actual_1,foshan_hv2_params.json,centre_theta,2025-08-09,8736.0,5703.2,0.653,True,"scope=city; early_anchor_in_calib=no; 11-elt theta + [L_ESC0,L_STAG0]; default ode_zone (seed 5e-4); R0 replay 1.278"
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-15,478.0,4467.4,9.346,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-18,1161.0,4662.6,4.016,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-19,1790.0,4722.2,2.638,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-20,2285.0,4779.4,2.092,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-21,2471.0,4834.9,1.957,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-26,4208.0,5118.9,1.216,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-19,1873.0,7278.9,3.886,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-21,2659.0,7435.2,2.796,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-22,3195.0,7510.6,2.351,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-24,4014.0,7661.0,1.909,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-07-26,4754.0,7812.3,1.643,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-08-02,7524.0,8331.2,1.107,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_1,foshan_hv2_multistart.json,kept_theta_1,2025-08-09,8736.0,8789.6,1.006,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.124
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-15,478.0,3049.6,6.38,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-18,1161.0,3247.4,2.797,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-19,1790.0,3311.2,1.85,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-20,2285.0,3374.2,1.477,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-21,2471.0,3436.3,1.391,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-26,4208.0,3787.7,0.9,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-19,1873.0,4716.5,2.518,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-21,2659.0,4874.5,1.833,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-22,3195.0,4952.2,1.55,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-24,4014.0,5116.3,1.275,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-07-26,4754.0,5302.0,1.115,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-08-02,7524.0,6066.3,0.806,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_2,foshan_hv2_multistart.json,kept_theta_2,2025-08-09,8736.0,6858.2,0.785,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.229
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-15,478.0,2405.2,5.032,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-18,1161.0,2564.0,2.208,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-19,1790.0,2615.4,1.461,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-20,2285.0,2666.9,1.167,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-21,2471.0,2722.5,1.102,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-26,4208.0,3142.4,0.747,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
multistart_actual_3,foshan_hv2_multistart.json,kept_theta_3,2025-07-19,1873.0,3486.5,1.861,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.264
