R0_target,start,R0_check,loss_total,loss_post,loss_early,pred_repA_0715,growth_rate,doubling_days,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,rep_none,rep_actual,rep_early,rep_late,rep_rule,rep_none_x,rep_early_x,rep_late_x,rep_rule_x,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x,peak_none,peak_actual,peak_early,peak_late,peak_rule,peak_none_x,peak_early_x,peak_late_x,peak_rule_x,n_starts,loss_range,tru_early_x_min,tru_early_x_max,tru_late_x_min,tru_late_x_max,tru_none_x_min,tru_none_x_max,tru_rule_x_min,tru_rule_x_max,r_base_min,r_base_max,s_min_min,s_min_max
1.24,1,1.24,0.2079,0.2078,0.0001,481.5,0.0014,488.59,0.5,0.1996,0.6194,0.2122,12.4668,8.8596,2.047,0.0004,20178,11858,9310,15649,8134,1.702,0.785,1.32,0.686,95101,14543,10884,19539,8573,6.539,0.748,1.344,0.59,1551,126,109,146,109,12.357,0.869,1.166,0.87,3,1.0187..0.2079,0.735,0.793,1.344,1.574,2.554,6.539,0.59,0.693,0.1162,0.8718,0.6194,0.9036
1.5,1,1.5,0.729,0.6846,0.0444,377.3,0.0139,49.95,0.5,0.3104,0.6142,0.2705,11.8942,9.0694,2.0684,0.0002,86799,18019,11870,30496,8279,4.817,0.659,1.692,0.459,320908,19532,12680,32958,8494,16.43,0.649,1.687,0.435,6545,172,99,351,67,38.158,0.575,2.045,0.39,3,3.1897..0.7290,0.608,0.751,1.435,1.829,5.186,16.43,0.382,0.622,0.1002,0.8651,0.4435,0.8509
2.0,2,2.0,0.6328,0.6324,0.0003,469.6,0.0374,18.56,0.9486,0.05,0.2015,0.9,24.1022,5.4937,6.5018,0.0,1641227,14059,6154,37736,2628,116.741,0.438,2.684,0.187,1823586,14248,6243,38140,2662,127.988,0.438,2.677,0.187,34092,183,87,523,40,186.384,0.474,2.859,0.22,3,3.1885..0.6328,0.438,0.501,2.144,2.677,48.738,158.961,0.175,0.258,0.3453,0.9,0.2015,0.5818
3.0,0,3.0,1.8802,1.7927,0.0875,336.6,0.0847,8.19,0.6755,0.3122,0.2213,0.8628,11.294,12.0875,1.8691,0.0,5454546,23391,5836,107795,1399,233.195,0.249,4.608,0.06,6321609,23460,5854,108055,1401,269.458,0.25,4.606,0.06,96312,263,58,1439,12,365.931,0.221,5.469,0.046,3,6.9515..1.8802,0.232,0.303,3.57,5.053,100.824,269.458,0.057,0.094,0.0504,0.8628,0.2213,0.3468
4.0,1,4.0,11.3027,10.3462,0.9565,10.5,0.1242,5.58,0.5,0.05,0.2002,0.05,24.441,9.7695,6.7999,0.0,380685,86383,16090,436044,3119,4.407,0.186,5.048,0.036,7613698,86995,16189,440074,3133,87.519,0.186,5.059,0.036,138668,1783,327,8989,63,77.761,0.184,5.041,0.035,3,88.8302..11.3027,0.186,0.236,4.238,5.059,25.979,87.519,0.036,0.051,0.05,0.9,0.2,0.2002
5.0,1,5.0,4446.2201,4446.0534,0.1667,282.8,0.1578,4.39,0.5,0.95,0.2,0.05,3.0,5.2,6.7903,0.0,407908,1212407,290065,2762973,47409,0.336,0.239,2.279,0.039,8158161,1212722,290098,2766164,47410,6.727,0.239,2.281,0.039,191730,26438,6673,42565,1079,7.252,0.252,1.61,0.041,3,40685.0069..4446.2201,0.239,0.757,1.148,2.281,2.753,6.727,0.039,0.473,0.05,0.2926,0.2,0.2007
6.0,2,6.0,86318.4429,86317.8479,0.595,109.3,0.1918,3.61,0.5588,0.0679,0.2,0.05,17.0536,5.2158,5.1861,0.0,408372,2393657,1536491,2889345,545809,0.171,0.642,1.207,0.228,8167434,2399434,1536864,2983538,545835,3.404,0.641,1.243,0.227,140126,35450,31264,43625,13688,3.953,0.882,1.231,0.386,3,266441.5176..86318.4429,0.585,0.723,1.243,1.503,2.113,3.404,0.214,0.326,0.05,0.8999,0.2,0.2002
7.28,2,7.28,595230.716,595230.5561,0.1599,286.9,0.2273,3.05,0.05,0.0501,0.2,0.05,16.4084,5.2,1.429,0.0,412887,3729380,3521043,4022148,3400210,0.111,0.944,1.079,0.912,8257739,3740197,3521473,4290776,3400229,2.208,0.942,1.147,0.909,160292,75838,61385,64748,67718,2.114,0.809,0.854,0.893,3,2159406.9251..595230.7160,0.703,0.942,1.147,1.319,1.287,2.208,0.425,0.909,0.05,0.9,0.2,0.2007
8.5,2,8.5,918863.1355,918862.8142,0.3214,749.0,0.2583,2.68,0.05,0.4787,0.2,0.05,21.2692,5.2,4.1843,0.0,413158,3843341,3562071,3642870,3482466,0.107,0.927,0.948,0.906,8263168,3903179,3563596,4840483,3482513,2.117,0.913,1.24,0.892,192721,75954,88790,74455,62666,2.537,1.169,0.98,0.825,3,3214314.8371..918863.1355,0.806,0.913,1.064,1.24,1.103,2.117,0.522,0.892,0.05,0.8677,0.2,0.2012
10.0,2,10.0,1326677.9087,1326663.3873,14.5214,2299.5,0.2925,2.37,0.0706,0.523,0.2,0.05,13.3322,6.017,0.3202,0.0,413415,4939534,4050483,4348403,3571931,0.084,0.82,0.88,0.723,8268300,5009185,4051602,6034812,3571952,1.651,0.809,1.205,0.713,207208,83426,86694,119765,100257,2.484,1.039,1.436,1.202,3,4877806.0012..1326677.9087,0.809,0.975,1.015,1.205,1.024,1.651,0.713,0.911,0.05,0.8997,0.2,0.2008
12.0,2,12.0,2839166.0888,2834141.618,5024.4708,34360.3,0.3305,2.1,0.95,0.05,0.2,0.05,8.6802,18.5188,1.5356,0.0,413458,7485960,7326620,5362387,6608286,0.055,0.979,0.716,0.883,8269163,7621756,7327868,7823998,6608297,1.085,0.961,1.027,0.867,211882,233277,208352,211867,136988,0.908,0.893,0.908,0.587,3,8815647.2514..2839166.0888,0.961,1.0,1.0,1.027,1.0,1.085,0.867,1.0,0.05,0.05,0.2,0.2
16.3,2,16.3,4775100.5027,4750412.8627,24687.64,75582.8,0.3515,1.97,0.9214,0.4564,0.2,0.05,9.5386,5.2144,0.5988,0.0,413462,6310517,7450270,4448802,6908829,0.066,1.181,0.705,1.095,8269239,7755826,7466952,8018909,6908882,1.066,0.963,1.034,0.891,239571,246892,233424,239571,153880,0.97,0.945,0.97,0.623,3,8826644.7004..4775100.5027,0.963,1.001,1.0,1.034,1.0,1.066,0.891,1.0,0.05,0.05,0.2,0.2
