R0_target,start,R0_check,loss_total,loss_post,loss_early,pred_repA_0715,growth_rate,doubling_days,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,rep_none,rep_actual,rep_early,rep_late,rep_rule,rep_none_x,rep_early_x,rep_late_x,rep_rule_x,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x,peak_none,peak_actual,peak_early,peak_late,peak_rule,peak_none_x,peak_early_x,peak_late_x,peak_rule_x
1.24,0,1.24,0.8311,0.7616,0.0695,604.0,0.0019,370.94,0.8681,0.241,0.6485,0.8718,8.8212,12.6079,1.5972,0.0001,31853,14175,10441,22322,8673,2.247,0.737,1.575,0.612,36538,14305,10514,22514,8689,2.554,0.735,1.574,0.607,548,164,131,274,120,3.334,0.799,1.669,0.73
1.24,1,1.24,0.2079,0.2078,0.0001,481.5,0.0014,488.59,0.5,0.1996,0.6194,0.2122,12.4668,8.8596,2.047,0.0004,20178,11858,9310,15649,8134,1.702,0.785,1.32,0.686,95101,14543,10884,19539,8573,6.539,0.748,1.344,0.59,1551,126,109,146,109,12.357,0.869,1.166,0.87
1.24,2,1.24,1.0187,0.5453,0.4734,149.1,0.0008,886.66,0.5715,0.5504,0.9036,0.1162,15.6704,6.2792,2.3866,0.0002,5922,15314,12387,21496,11221,0.387,0.809,1.404,0.733,50983,17288,13708,24214,11981,2.949,0.793,1.401,0.693,824,132,117,222,120,6.243,0.887,1.68,0.912
1.5,0,1.5,0.8488,0.7929,0.0558,591.0,0.0144,47.99,0.8653,0.3308,0.4435,0.8651,9.0487,12.6848,2.1089,0.0,175882,14162,8629,25928,5453,12.419,0.609,1.831,0.385,203314,14295,8696,26148,5463,14.223,0.608,1.829,0.382,3858,163,107,320,75,23.648,0.658,1.958,0.459
1.5,1,1.5,0.729,0.6846,0.0444,377.3,0.0139,49.95,0.5,0.3104,0.6142,0.2705,11.8942,9.0694,2.0684,0.0002,86799,18019,11870,30496,8279,4.817,0.659,1.692,0.459,320908,19532,12680,32958,8494,16.43,0.649,1.687,0.435,6545,172,99,351,67,38.158,0.575,2.045,0.39
1.5,2,1.5,3.1897,2.5012,0.6884,81.4,0.0133,52.09,0.3198,0.2458,0.8509,0.1002,15.085,7.0918,2.9405,0.0001,18763,34941,26442,49961,22159,0.537,0.757,1.43,0.634,187213,36103,27109,51804,22448,5.186,0.751,1.435,0.622,4006,619,458,930,374,6.47,0.739,1.502,0.603
2.0,0,2.0,0.8599,0.8259,0.034,566.2,0.0384,18.06,0.8263,0.2356,0.2857,0.8582,8.9775,12.3733,2.0551,0.0,2070877,15050,6651,40089,2654,137.597,0.442,2.664,0.176,2412935,15179,6704,40365,2660,158.961,0.442,2.659,0.175,49014,165,76,461,34,297.47,0.462,2.801,0.206
2.0,1,2.0,3.1885,2.7178,0.4707,150.1,0.0378,18.35,0.5,0.3281,0.5818,0.3453,12.0479,8.8276,1.9787,0.0,588839,34577,17356,74165,8989,17.03,0.502,2.145,0.26,1705399,34991,17536,75037,9031,48.738,0.501,2.144,0.258,40653,574,275,1301,136,70.826,0.48,2.267,0.237
2.0,2,2.0,0.6328,0.6324,0.0003,469.6,0.0374,18.56,0.9486,0.05,0.2015,0.9,24.1022,5.4937,6.5018,0.0,1641227,14059,6154,37736,2628,116.741,0.438,2.684,0.187,1823586,14248,6243,38140,2662,127.988,0.438,2.677,0.187,34092,183,87,523,40,186.384,0.474,2.859,0.22
3.0,0,3.0,1.8802,1.7927,0.0875,336.6,0.0847,8.19,0.6755,0.3122,0.2213,0.8628,11.294,12.0875,1.8691,0.0,5454546,23391,5836,107795,1399,233.195,0.249,4.608,0.06,6321609,23460,5854,108055,1401,269.458,0.25,4.606,0.06,96312,263,58,1439,12,365.931,0.221,5.469,0.046
