R0_target,R0_check,loss_total,loss_post,loss_early,pred_repA_0715,growth_rate,doubling_days,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed_frac,rep_none,rep_actual,rep_early,rep_late,rep_rule,rep_none_x,rep_early_x,rep_late_x,rep_rule_x,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x
1.24,1.24,0.1933,0.1909,0.0024,501.5,0.0014,486.88,0.584,0.485,0.533,0.214,15.04,14.99,2.11,0.000372,21822,10523,8187,14544,6872,2.074,0.778,1.382,0.653,102004,13451,9945,18752,7420,7.583,0.739,1.394,0.552
1.5,1.5,0.0232,0.0072,0.0161,417.4,0.0142,48.89,0.798,0.021,0.06,0.001,5.46,11.31,4.54,0.000342,1501,3957,2855,6022,1310,0.379,0.721,1.522,0.331,1124206,10592,5900,17325,1338,106.132,0.557,1.636,0.126
2.0,2.0,1.5765,1.523,0.0535,588.5,0.0375,18.47,0.523,0.441,0.43,0.741,14.26,15.0,2.51,4.9e-05,1693352,23867,11051,54537,4932,70.949,0.463,2.285,0.207,2285706,24185,11190,55205,4962,94.51,0.463,2.283,0.205
3.0,3.0,2.1263,1.7444,0.3818,773.4,0.0826,8.39,0.444,0.413,0.182,0.973,7.98,14.09,2.86,9.07e-06,6945772,24485,6430,97774,1407,283.677,0.263,3.993,0.057,7136528,24511,6437,97869,1407,291.161,0.263,3.993,0.057
4.0,4.0,1.9626,1.6176,0.345,758.8,0.1231,5.63,0.499,0.32,0.1,0.978,13.58,13.88,2.78,2.64e-06,8074231,22315,3481,159762,510,361.826,0.156,7.159,0.023,8256043,22339,3485,159914,510,369.579,0.156,7.158,0.023
5.0,5.0,2.4018,2.4018,0.0,478.7,0.1657,4.18,0.407,0.255,0.067,0.66,10.85,14.31,3.22,4.62e-13,5458453,26730,2682,263809,434,204.207,0.1,9.869,0.016,8267352,26990,2707,266619,436,306.312,0.1,9.878,0.016
6.0,6.0,1.6917,1.2533,0.4384,161.5,0.1952,3.55,0.323,0.446,0.034,0.022,7.91,15.26,3.48,2.43e-16,178049,21555,1394,319089,149,8.26,0.065,14.804,0.007,8269185,22975,1486,342745,156,359.918,0.065,14.918,0.007
7.28,7.28,0.1489,0.1489,0.0,480.7,0.23,3.01,0.246,0.962,0.011,0.122,12.57,15.05,3.11,1.95e-21,1005860,9867,380,239803,26,101.941,0.039,24.303,0.003,8269230,13691,534,344556,34,603.975,0.039,25.166,0.002
8.5,8.5,1.077,0.077,1.0,0.0,0.2605,2.66,0.015,1.0,0.0,0.0,25.0,8.5,6.96,4.27e-232,0,209,6,8562,0,0.0,0.027,41.018,0.001,8269262,10730,285,441144,10,770.636,0.027,41.111,0.001
10.0,10.0,1.0063,0.007,0.9993,0.2,0.2963,2.34,0.912,0.999,0.0,0.0,16.05,15.11,7.0,1.76e-207,209,3074,47,113067,1,0.068,0.015,36.785,0.0,8269262,10527,167,609795,4,785.561,0.016,57.929,0.0
12.0,12.0,36.5182,35.5182,1.0,0.0,0.3381,2.05,0.0,1.0,0.0,0.0,25.0,15.5,7.0,0.0,0,568,5,39684,0,0.0,0.009,69.824,0.0,8269257,26825,239,2072794,3,308.268,0.009,77.271,0.0
16.3,16.3,8347.324,8346.324,1.0,0.0,0.397,1.75,0.001,0.0,0.0,0.0,25.0,15.48,0.0,4.57e-107,0,5955,17,40144,0,0.0,0.003,6.741,0.0,8269244,266480,776,3942439,3,31.031,0.003,14.794,0.0
